day_position,rankic_F,rankic_E,rankic_H,F_minus_E,E_minus_H,F_minus_H,year,phase,n
3145,0.18253634070248914,0.13593247846799475,0.16699403194357107,0.04660386223449439,-0.03106155347557632,0.015542308758918072,2019,0,3147
3150,0.0271639826403028,0.0006713039786194401,-0.004157151657624412,0.02649267866168336,0.004828455636243852,0.03132113429792721,2019,1,3159
3155,-0.011610261387671905,-0.004812259098092576,-0.03002002547613471,-0.006798002289579329,0.025207766378042135,0.018409764088462805,2019,2,3160
3160,0.06334558996384174,0.0727105175532407,0.0063767896895028766,-0.00936492758939897,0.06633372786373783,0.05696880027433886,2019,3,3182
3165,0.04102215365671286,0.06159854443369047,-0.014175126326846062,-0.020576390776977607,0.07577367076053654,0.055197279983558924,2020,0,3191
3170,0.024122869944412272,0.06894547890996701,-0.04075437160877076,-0.04482260896555473,0.10969985051873776,0.06487724155318303,2020,1,3201
3175,0.0169747769230454,0.025432665361303144,-0.07875393014738627,-0.008457888438257743,0.10418659550868942,0.09572870707043167,2020,2,3201
3180,0.33267330335105877,0.3315052188776018,0.3081453881946259,0.001168084473456954,0.023359830682975924,0.024527915156432878,2020,3,3217
3185,0.32607268819599844,0.31177703523107697,0.280338841379871,0.014295652964921468,0.031438193851206,0.045733846816127466,2020,0,3232
3190,0.3042402482622514,0.26933232774347465,0.2046189631478353,0.034907920518776725,0.06471336459563937,0.09962128511441609,2020,1,3236
3195,0.3163259578663865,0.26043567668835005,0.19791822819208738,0.05589028117803646,0.06251744849626267,0.11840772967429913,2020,2,3253
3200,0.1501328451256879,0.16938963959358302,0.11326956017611421,-0.019256794467895133,0.05612007941746881,0.03686328494957368,2020,3,3254
3205,0.08961411727308655,0.09555125989875211,0.028151014023746118,-0.005937142625665567,0.067400245875006,0.06146310324934043,2020,0,3248
3210,0.2844564625211399,0.27277938985986033,0.2695610314176328,0.011677072661279542,0.003218358442227509,0.01489543110350705,2020,1,3250
3215,0.2864574491624422,0.2817089374560451,0.29532118283452286,0.004748511706397118,-0.013612245378477772,-0.008863733672080654,2020,2,3272
3220,0.25755664820227003,0.23849041754265354,0.28393928722383555,0.01906623065961649,-0.045448869681182,-0.026382639021565513,2020,3,3251
3225,0.02429476186247627,-0.028662164222132268,0.028666875093070737,0.05295692608460854,-0.057329039315203,-0.0043721132305944675,2020,0,3266
