day_position,date,phase,predictor,n,rankic,decile_spread,top30_mean,universe_mean,top30_minus_universe,ties_present,clock,seed
2650,2017-11-24,1,F,1853,0.09246760895723945,0.041623655445653496,0.05712497428370019,0.006050486683983453,0.051074487599716736,False,1430,29
2650,2017-11-24,1,H,1853,0.12239310576885598,0.04206512094840307,0.018289254947255053,0.006050486683983453,0.0122387682632716,False,1430,29
2655,2017-12-01,2,F,1857,0.16710506044171555,0.056666165111410254,0.05741341970084856,0.0018260979575140932,0.055587321743334465,False,1430,29
2655,2017-12-01,2,H,1857,0.20010574849163304,0.08152534412424634,0.07358963820928087,0.0018260979575140932,0.07176354025176677,False,1430,29
2660,2017-12-08,3,F,1846,0.21659214144202382,0.07866595773323395,0.09927395266713575,0.0030417877538424193,0.09623216491329332,False,1430,29
2660,2017-12-08,3,H,1846,0.20623851630505072,0.08030466475287065,0.11512797766675552,0.0030417877538424193,0.1120861899129131,False,1430,29
2665,2017-12-15,0,F,1851,0.27104994812119443,0.10496878394073605,0.08254459456851085,-0.00016710989523477696,0.08271170446374562,False,1430,29
2665,2017-12-15,0,H,1851,0.2561354883102628,0.10404281280352734,0.07786433707612256,-0.00016710989523477696,0.07803144697135733,False,1430,29
2670,2017-12-22,1,F,1877,0.15867201772108583,0.05821308749510015,0.06878666284804542,-0.0037601079450771745,0.07254677079312259,False,1430,29
2670,2017-12-22,1,H,1877,0.12428393126465993,0.05668087016833438,0.024358602489034334,-0.0037601079450771745,0.02811871043411151,False,1430,29
2675,2017-12-29,2,F,1894,0.023876821801563777,0.02134536838052097,-0.002932283002883196,0.0008167076231318023,-0.0037489906260149983,False,1430,29
