decision_id,decision_date,year,decision_clock,replay_segment_id,eligible_count,selected_count,oracle_count,selected_oracle_overlap_count,selected_oracle_overlap_share,selected_mean_h20_return,oracle_mean_h20_return,selection_gap_mean_h20_return,selected_median_opportunity_rank
14:45:20150821,2015-08-21,2015,14:45,2011_2020,848,30,30,0,0,-0.15608749661886456,0.14631752079655141,-0.30240501741541598,390.5
14:30:20150828,2015-08-28,2015,14:30,2011_2020,780,30,30,2,0.066666666666666666,-0.063197767002124455,0.20822415613891795,-0.27142192314104241,393.5
14:45:20150828,2015-08-28,2015,14:45,2011_2020,763,30,30,1,0.033333333333333333,-0.078794101470325048,0.18701182705889535,-0.26580592852922041,382
14:30:20150908,2015-09-08,2015,14:30,2011_2020,614,30,30,4,0.13333333333333333,0.20228068490129655,0.47276350551854968,-0.27048282061725315,168
14:45:20150908,2015-09-08,2015,14:45,2011_2020,606,30,30,5,0.16666666666666666,0.18009980975751982,0.44791938842666601,-0.26781957866914619,176
14:30:20150915,2015-09-15,2015,14:30,2011_2020,827,30,30,3,0.10000000000000001,0.3458647867988483,0.89009074685975242,-0.54422596006090407,450
14:45:20150915,2015-09-15,2015,14:45,2011_2020,827,30,30,3,0.10000000000000001,0.36495687765174678,0.89979054674834358,-0.5348336690965968,423.5
14:30:20150922,2015-09-22,2015,14:30,2011_2020,831,30,30,3,0.10000000000000001,0.16123628186482997,0.67152563123556597,-0.510289349370736,504
14:45:20150922,2015-09-22,2015,14:45,2011_2020,829,30,30,2,0.066666666666666666,0.17114383647133724,0.70080954790411498,-0.52966571143277774,467
14:30:20150929,2015-09-29,2015,14:30,2011_2020,847,30,30,0,0,0.1770593564745172,0.55243115345066007,-0.37537179697614287,424.5
14:45:20150929,2015-09-29,2015,14:45,2011_2020,846,30,30,0,0,0.17733272791489352,0.55717171666574861,-0.37983898875085509,436
14:30:20151013,2015-10-13,2015,14:30,2011_2020,614,30,30,1,0.033333333333333333,0.13165099527079543,0.49953680128030076,-0.36788580600950532,317
14:45:20151013,2015-10-13,2015,14:45,2011_2020,614,30,30,1,0.033333333333333333,0.14856387791579131,0.51554445372685298,-0.36698057581106169,319.5
14:30:20151020,2015-10-20,2015,14:30,2011_2020,804,30,30,1,0.033333333333333333,0.095506575432223795,0.49951514654299767,-0.40400857111077387,419
14:45:20151020,2015-10-20,2015,14:45,2011_2020,809,30,30,1,0.033333333333333333,0.093733175620619585,0.50223169349520991,-0.40849851787459035,439
14:30:20151027,2015-10-27,2015,14:30,2011_2020,834,30,30,0,0,0.088400779198009871,0.54076599922438728,-0.45236522002637741,384.5
14:45:20151027,2015-10-27,2015,14:45,2011_2020,827,30,30,0,0,0.082242558635196902,0.52708563574180733,-0.44484307710661042,400.5
14:30:20151103,2015-11-03,2015,14:30,2011_2020,852,30,30,0,0,0.08130676302080761,0.49331890657883554,-0.41201214355802795,417
14:45:20151103,2015-11-03,2015,14:45,2011_2020,852,30,30,0,0,0.12655013070195478,0.51799446039012886,-0.39144432968817411,306
14:30:20151110,2015-11-10,2015,14:30,2011_2020,618,30,30,2,0.066666666666666666,-0.013267384612557939,0.28184302168940739,-0.29511040630196533,340.5
14:45:20151110,2015-11-10,2015,14:45,2011_2020,615,30,30,2,0.066666666666666666,-0.008509963790061215,0.27191946728905464,-0.28042943107911583,296
14:30:20151117,2015-11-17,2015,14:30,2011_2020,834,30,30,1,0.033333333333333333,0.0051509421144515658,0.33667115733852632,-0.33152021522407477,371.5
14:45:20151117,2015-11-17,2015,14:45,2011_2020,834,30,30,0,0,-0.0072444472468405872,0.32788234149508799,-0.33512678874192858,375.5
14:30:20151124,2015-11-24,2015,14:30,2011_2020,844,30,30,2,0.066666666666666666,0.060910898948333111,0.41988121168113401,-0.35897031273280089,473.5
14:45:20151124,2015-11-24,2015,14:45,2011_2020,842,30,30,2,0.066666666666666666,0.057341539961195558,0.41165517429703047,-0.3543136343358349,464.5
14:30:20151201,2015-12-01,2015,14:30,2011_2020,849,30,30,1,0.033333333333333333,0.075942237752512451,0.42512121914037687,-0.34917898138786441,407
14:45:20151201,2015-12-01,2015,14:45,2011_2020,844,30,30,1,0.033333333333333333,0.079261128224851513,0.40858575458538671,-0.32932462636053517,351
14:30:20151208,2015-12-08,2015,14:30,2011_2020,620,30,30,1,0.033333333333333333,-0.032724843824795152,0.26516299627706241,-0.29788784010185754,380.5
